ticker,origem,setor,investment,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,roe_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,market_cap,pl,pvp,dy,roe,roic,mrg_liq,div_liq_ebitda,liq_corr,div_patrim,peg,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_upside_pct,teto_upside_media_pct,strategy,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
CBAV3,SMALL11,Basic Materials,27.11,21.09,13.16,62.44,21.97,130,Rompimento,2,7,False,False,False,False,False,False,,True,True,7239928320.0,59.05,1.56,0.4,2.65,1.65,1.4,,2.11,0.95,118.1,11.119999885559082,0.74,0.33,1.38,5.5,0.17,1.62,0.74,-93.33,-85.42,Rompimento,Em Alta,11.109999656677246,0.09001106382415802,0.0,False,True,False,Rompimento
AZEV4,SMALL11,Industrials,25.79,3.28,70.86,9.79,9.47,131,Não,3,7,False,False,False,False,False,True,,True,True,303644640.0,-0.47,2.51,0.0,-5.36,-19.14,-135.4,,0.55,2.16,-0.0,2.7300000190734863,,,,,,,,,,,Lateral,2.5399999618530273,7.480317325746988,-79.62686494932217,False,False,False,sem sinal (+7.5% do topo; Lateral)
ENEV3,BOVA11,Utilities,25.28,35.03,13.0,38.48,9.47,132,Pivô de alta,2,7,False,False,False,False,False,True,,True,False,51957202944.0,39.98,2.54,0.0,6.36,6.1,6.94,,1.48,1.17,1.12,27.15999984741211,,,8.73,12.78,20.38,13.96,12.78,-52.93,-48.58,Pivô de alta,Lateral,27.170000076293945,-0.03680614226631018,-3.4139436812600787,False,True,False,Pivô de alta
ONCO3,SMALL11,Healthcare,21.25,10.87,50.93,3.72,9.47,133,Não,1,7,False,False,False,False,False,False,,True,False,696023296.0,-0.18,1.3,0.0,-7.2,4.78,-71.05,,0.46,6.18,,0.6200000047683716,,,,,,,,,,,Em Baixa,0.9599999785423279,-35.41666472641126,-89.16083867989796,False,False,False,sem sinal (-35.4% do topo; Em Baixa)
CCRO3,BOVA11,,,,,,,134,Não,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,histórico insuficiente
ELET3,BOVA11,,,,,,,135,Não,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,histórico insuficiente
ELET6,BOVA11,,,,,,,136,Não,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,histórico insuficiente
EMBR3,BOVA11,,,,,,,137,Não,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,histórico insuficiente
MRFG3,BOVA11,,,,,,,138,Não,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,histórico insuficiente
ARZZ3,SMALL11,,,,,,,139,Não,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,histórico insuficiente
GUAR3,SMALL11,,,,,,,140,Não,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,histórico insuficiente
ODPV3,SMALL11,,,,,,,141,Não,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,histórico insuficiente
