ticker,origem,grupo,setor,investment,investment_base,consistencia,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,div_liq_ebitda,liq_corr,div_patrim,peg,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
FRAS3,SMALL11,SMALL11,Consumer Cyclical,43.76,42.66,50.0,51.72,19.17,57.51,30.87,97,Não,4,7,False,,True,,False,True,False,False,True,3,6,False,True,True,False,False,,True,True,True,,True,5588302336.0,21.78,2.29,3.12,3.07,10.53,13.92,4.68,,2.29,1.23,6.23,20.149999618530273,4.41,6.09,9.12,13.53,6.07,7.85,6.09,5.48,5.0,-72.8,-61.07,n/d,n/d,,,,Em Alta,21.170000076293945,-4.81814102072613,-19.796360603576847,False,False,False,sem sinal (Em Alta; sem novo topo (-4.8%))
PNVL3,SMALL11,SMALL11,Healthcare,43.38,39.27,66.66666666666667,39.78,36.2,50.52,22.15,98,Não,3,7,False,,True,,False,True,False,True,True,4,6,False,True,False,False,False,,True,True,True,,True,1813622912.0,14.11,1.44,2.65,2.49,10.18,9.82,2.32,,1.81,1.07,2.13,12.170000076293945,2.16,4.01,11.43,12.81,7.84,9.02,9.64,8.67,4.0,-28.74,-25.87,n/d,n/d,,,,Em Alta,12.4399995803833,-2.170414093221673,-25.315787658865506,False,False,False,sem sinal (Em Alta; sem novo topo (-2.2%))
CBAV3,SMALL11,SMALL11,Basic Materials,43.28,42.09,50.0,39.06,38.29,59.94,29.53,99,Rompimento,3,7,False,,False,,False,True,True,True,False,3,6,False,True,False,False,False,,True,True,True,,True,7246439424.0,12.1,1.43,0.4,3.04,11.81,6.25,6.41,,2.06,0.89,1.62,11.130000114440918,2.42,4.49,12.19,12.69,9.66,9.76,10.93,9.83,4.0,-11.66,-12.33,n/d,n/d,,,Rompimento,Em Alta,11.119999885559082,0.08993011676936558,-0.1793677558169393,False,True,False,"Rompimento (vol x1.5, +0.1% do topo, MM50>MM200)"
VAMO3,BOVA11+SMALL11,BOVA11,Industrials,43.04,44.76,33.333333333333336,56.07,45.0,27.28,28.19,100,Não,4,7,False,,True,,False,True,False,False,False,2,6,True,False,True,False,False,,True,True,True,,True,3799612928.0,13.19,1.56,3.75,2.92,11.81,15.28,5.09,,1.77,6.47,1.82,3.109999895095825,0.65,1.2,3.12,3.25,2.4,2.5,2.76,2.49,4.0,-20.07,-19.77,n/d,n/d,,,,Em Alta,3.4200000762939453,-9.064332581362077,-37.04453726574047,False,False,False,sem sinal (Em Alta; sem novo topo (-9.1%))
RCSL4,SMALL11,SMALL11,Industrials,42.71,45.83,25.0,38.67,97.12,19.4,2.68,101,Não,2,6,False,,False,,False,True,,,False,1,4,True,True,False,False,,,False,False,True,,True,96739776.0,-5.95,-7.25,0.0,0.0,121.91,-4.98,0.0,,1.22,,-0.4,0.7599999904632568,,,,,,,,,0.0,,,n/d,n/d,,,,Em Alta,0.7799999713897705,-2.5641002128344415,-72.58791776352112,False,False,False,sem sinal (Em Alta; sem novo topo (-2.6%))
MOVI3,SMALL11,SMALL11,Industrials,42.44,44.04,33.333333333333336,52.06,58.28,3.38,53.69,102,Não,4,7,False,,False,,False,True,False,True,False,2,6,True,False,True,False,False,,True,True,True,,True,3116096000.0,8.78,1.05,8.17,5.87,11.92,14.39,2.45,,0.85,8.06,1.52,7.710000038146973,3.23,5.82,11.29,12.04,10.23,9.85,10.76,9.68,4.0,25.59,27.71,n/d,n/d,,,,Em Baixa,8.720000267028809,-11.58257107744306,-48.496994651842954,False,False,False,sem sinal (Em Baixa; sem novo topo (-11.6%))
DXCO3,SMALL11,SMALL11,Basic Materials,40.52,41.79,33.333333333333336,15.6,85.81,49.46,34.23,103,Não,2,7,False,,True,,False,False,False,True,False,2,6,False,False,False,False,False,,True,True,True,,True,4648197632.0,-129.46,0.67,0.0,3.41,-0.52,4.35,0.1,,2.05,1.27,-8.19,5.119999885559082,1.25,2.31,,,,1.78,1.78,1.6,2.0,-68.75,-65.28,n/d,n/d,,,,Em Alta,5.190000057220459,-1.348750884192973,-17.684886523101884,False,False,False,sem sinal (Em Alta; sem novo topo (-1.3%))
TTEN3,SMALL11,SMALL11,Basic Materials,40.51,38.84,50.0,42.74,45.36,35.64,11.41,104,Não,3,7,False,,True,,False,True,False,False,True,3,6,True,True,False,False,False,,True,False,True,,True,5800104960.0,8.29,1.24,1.54,0.95,14.93,6.69,4.16,,1.26,1.0,0.6,11.59000015258789,0.78,1.45,18.52,17.15,20.56,18.74,18.52,16.67,3.0,43.85,61.72,n/d,n/d,,,,Em Baixa,15.569999694824219,-25.561975724118735,-35.251394415730616,False,False,False,sem sinal (Em Baixa; sem novo topo (-25.6%))
BRKM5,BOVA11+SMALL11,BOVA11,Basic Materials,40.47,40.55,40.0,33.56,69.25,0.75,79.87,105,Não,4,7,False,,False,,False,True,,True,False,2,5,True,True,False,False,False,,True,True,True,,True,4821658624.0,-0.51,-0.3,0.0,9.81,58.03,-6.49,-13.68,,0.71,,-0.03,6.050000190734863,4.24,7.86,,,,6.05,6.05,5.44,2.0,-10.02,-0.02,n/d,n/d,,,,Em Baixa,6.190000057220459,-2.261710261574068,-56.09578876653298,False,False,False,sem sinal (Em Baixa; sem novo topo (-2.3%))
JSLG3,SMALL11,SMALL11,Industrials,39.67,40.79,33.333333333333336,22.1,77.25,12.35,90.6,106,Não,1,7,False,,True,,False,False,False,True,False,2,6,False,False,False,False,False,,True,False,True,,True,1603773312.0,-17.19,1.4,33.48,13.85,-8.15,9.49,-0.98,,1.28,6.64,-7.47,5.619999885559082,5.56,6.81,,,,6.18,6.18,5.57,2.0,-0.97,10.03,n/d,n/d,,,,Lateral,5.760000228881836,-2.430561419438204,-36.28117823113952,False,False,False,sem sinal (Lateral; sem novo topo (-2.4%))
