ticker,origem,setor,investment,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,roe_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,market_cap,pl,pvp,dy,roe,roic,mrg_liq,div_liq_ebitda,liq_corr,div_patrim,peg,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
ABEV3,BOVA11,Consumer Defensive,54.21,78.66,22.6,55.48,58.71,53,Não,6,7,False,True,True,True,True,True,,True,False,245390376960.0,15.4,2.83,5.69,18.4,20.62,18.41,,1.02,0.03,0.59,15.880000114440918,15.06,11.61,13.25,11.41,30.94,16.45,13.25,-16.57,3.61,2026-10-29,2026-06-23,última,,,Em Baixa,16.1299991607666,-1.5499011737939994,-6.548022772212613,True,False,False,sem sinal (Em Baixa; sem novo topo (-1.5%))
RDOR3,BOVA11,Healthcare,53.98,70.47,19.16,49.64,90.91,54,Não,4,7,False,True,True,True,False,False,,True,False,75413381120.0,16.7,3.9,12.63,23.35,15.25,8.08,,2.86,2.44,,34.59000015258789,72.81,44.33,21.02,20.33,,39.62,32.67,-5.55,14.55,2026-08-12,2026-06-26,última,,,Em Baixa,36.04999923706055,-4.0499281979782475,-23.051247176601642,True,False,False,sem sinal (Em Baixa; sem novo topo (-4.0%))
ALUP11,SMALL11,Utilities,53.86,61.14,40.92,69.69,41.67,55,Não,4,7,False,False,True,False,True,False,,True,True,15596761088.0,9.75,1.17,3.28,12.0,9.46,25.17,,3.3,1.14,,32.790000915527344,17.93,10.91,34.12,46.05,,27.25,26.02,-20.63,-16.89,n/d,2026-05-15,última,,,Lateral,34.11000061035156,-3.8698319296530004,-11.066530526602492,True,False,False,sem sinal (Lateral; sem novo topo (-3.9%))
SAPR11,SMALL11,Utilities,53.11,59.16,63.92,45.66,27.27,56,Não,4,7,False,False,False,True,True,False,,True,True,10690264064.0,8.71,0.84,1.57,9.64,11.81,16.66,,1.08,0.57,,35.369998931884766,9.26,5.63,41.2,62.03,,29.53,25.23,-28.67,-16.51,n/d,2026-01-02,última,,,Em Baixa,37.43000030517578,-5.503610356653299,-27.40148184385799,True,False,False,sem sinal (Em Baixa; sem novo topo (-5.5%))
STBP3,BOVA11,,52.32,98.86,19.45,,9.47,57,Não,4,4,True,True,True,True,,,,,True,,13.44,13.6,0.0,101.21,33.73,,,,,,,,,,,,,,,,n/d,n/d,,,,,,,,True,False,False,histórico insuficiente
ITUB4,BOVA11,Financial Services,51.8,59.96,28.79,,78.79,58,Não,4,6,False,True,True,False,,True,,True,False,473940492288.0,9.96,2.24,8.24,22.45,0.0,33.28,,,,0.87,43.0,59.05,45.52,55.47,43.18,84.79,57.6,55.47,29.0,33.96,n/d,2026-09-01,próxima,,,Lateral,43.630001068115234,-1.443962990355363,-11.739947703388776,True,False,False,sem sinal (Lateral; sem novo topo (-1.4%))
BEEF3,BOVA11,Consumer Defensive,51.77,68.81,55.0,13.31,56.82,59,Não,4,7,False,True,True,True,False,False,,True,False,3568114432.0,5.09,2.87,5.4,56.47,17.78,1.25,,1.32,13.29,,3.5999999046325684,3.24,1.97,7.18,4.47,,4.21,3.85,7.05,17.06,2026-08-12,2026-04-29,última,,,Lateral,3.7200000286102295,-3.22580975953628,-50.784822990593135,True,False,False,sem sinal (Lateral; sem novo topo (-3.2%))
RANI3,SMALL11,Consumer Cyclical,51.69,54.7,41.94,54.93,59.85,60,Não,2,7,False,False,False,True,False,False,,True,False,1931127296.0,14.85,1.34,5.78,9.03,11.69,12.12,,2.19,1.29,,8.399999618530273,8.09,4.93,5.74,8.93,,6.92,6.92,-17.67,-17.59,n/d,2026-05-08,última,,,Em Alta,8.420000076293945,-0.23753512568226443,-13.792949637510365,True,False,False,sem sinal (Em Alta; sem novo topo (-0.2%))
ANIM3,SMALL11,Consumer Defensive,51.62,46.49,70.13,39.18,43.18,61,Não,4,7,False,False,False,True,False,True,,True,True,808620864.0,6.59,0.37,3.55,5.62,14.19,3.27,,1.9,2.02,0.55,2.140000104904175,1.27,0.98,4.17,6.5,5.05,3.59,4.17,94.97,67.9,n/d,2026-04-27,última,,,Em Baixa,2.869999885559082,-25.4355334412392,-59.534717006888435,True,False,False,sem sinal (Em Baixa; sem novo topo (-25.4%))
WEGE3,BOVA11,Industrials,51.48,85.64,4.3,64.13,49.24,62,Não,5,7,False,True,True,True,True,False,,True,False,209120149504.0,33.0,10.94,4.08,33.16,24.33,15.58,,1.59,0.29,,49.84000015258789,33.89,20.63,15.32,12.44,,20.57,17.98,-63.93,-58.72,2026-10-21,2026-06-22,última,,,Lateral,49.16999816894531,1.362623568421717,-8.188926137395436,True,False,False,sem sinal (Lateral; sem novo topo (+1.4%))
AZUL4,BOVA11,,51.31,36.36,89.67,,9.47,63,Não,1,4,False,False,False,False,,,,,True,,0.07,-0.08,0.0,-119.0,13.31,,,,,,,,,,,,,,,,n/d,n/d,,,,,,,,True,False,False,histórico insuficiente
FLRY3,BOVA11,Healthcare,50.84,57.31,29.79,61.5,63.64,64,Não,3,7,False,False,True,False,False,False,,True,True,9551512576.0,15.08,1.85,6.17,12.25,12.31,7.47,,2.14,1.02,1.24,17.56999969482422,18.07,13.93,14.97,15.78,21.4,16.83,15.78,-10.19,-4.21,2026-08-06,2025-12-03,última,,,Em Alta,17.489999771118164,0.45740380076024767,-2.928180527488322,True,False,False,sem sinal (Em Alta; sem novo topo (+0.5%))
SBFG3,SMALL11,Consumer Cyclical,50.19,39.71,62.84,43.18,58.71,65,Não,3,7,False,False,False,False,False,True,,True,True,2179774720.0,6.57,0.71,5.69,10.84,7.5,4.2,,1.39,0.94,0.46,9.449999809265137,8.96,6.91,18.48,20.75,28.75,16.77,18.48,95.56,77.48,n/d,2026-04-27,última,,,Em Baixa,10.300000190734863,-8.252430735237514,-38.172845936741986,True,False,False,sem sinal (Em Baixa; sem novo topo (-8.3%))
USIM5,BOVA11,Basic Materials,49.61,11.21,85.55,93.01,9.47,66,Não,3,7,False,False,False,False,False,True,,True,True,9244380160.0,-4.06,0.45,0.0,-11.18,4.67,-10.32,,4.54,0.29,-0.03,7.510000228881836,,,,,,,,,,n/d,2024-04-26,última,,,Em Baixa,8.6899995803833,-13.578819430154876,-38.3415431796785,True,False,False,sem sinal (Em Baixa; sem novo topo (-13.6%))
VIVT3,BOVA11,Communication Services,49.4,47.58,38.77,49.88,74.24,67,Não,5,7,False,False,True,True,False,True,,True,True,99734872064.0,15.48,1.56,7.85,10.05,9.1,10.68,,0.95,0.3,0.84,31.209999084472656,40.83,31.48,25.9,30.13,53.13,36.29,31.48,0.86,16.29,2026-07-27,2026-07-28,última,,,Em Baixa,35.95353698730469,-13.193522252086042,-24.297021556965028,True,False,False,sem sinal (Em Baixa; sem novo topo (-13.2%))
