ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,div_liq_ebitda,liq_corr,div_patrim,peg,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
ABCB2,SMALL11,SMALL11,,87.85,85.7,100.0,,78.5,98.67,,,1,Não,4,4,True,,,,,True,,True,,2,2,True,True,,True,True,,,,True,,True,,,0.0,,,15.0,,41.54,,,,,,,,,,,,,,0.0,,,n/d,n/d,,,,,,,,True,False,False,histórico insuficiente
VULC3,SMALL11,SMALL11,Consumer Cyclical,80.59,80.11,83.33333333333333,,88.86,53.72,87.15,92.62,2,Não,6,7,False,,True,,False,True,True,True,True,5,6,True,True,True,True,True,,True,False,True,,True,4378734080.0,4.77,1.67,29.07,15.46,35.06,17.83,24.89,,2.96,0.37,0.52,13.9399995803833,15.39,28.55,38.72,23.43,72.08,26.52,25.99,23.39,4.0,67.81,90.28,n/d,2025-12-23,última,,,Lateral,14.5,-3.862071859425509,-31.091570448821415,True,False,False,sem sinal (Lateral; sem novo topo (-3.9%))
VTRU3,SMALL11,SMALL11,Consumer Defensive,79.07,75.37,100.0,,88.84,85.52,66.39,7.38,3,Não,7,7,True,,True,,,True,True,True,True,5,5,True,True,True,True,True,,True,True,True,,True,2095204480.0,1.73,0.52,0.2,0.21,29.95,14.79,48.63,,2.13,0.76,0.12,12.859999656677246,0.19,0.35,98.49,64.31,113.03,91.95,98.49,88.64,3.0,589.31,614.98,n/d,2026-05-04,última,,,Em Baixa,13.119999885559082,-1.9817090788850744,-25.869998160461527,True,False,False,sem sinal (Em Baixa; sem novo topo (-2.0%))
JHSF3,SMALL11,SMALL11,Real Estate,76.44,75.23,83.33333333333333,,84.71,71.46,62.31,67.79,4,Não,5,7,False,,True,,False,True,True,True,True,5,6,True,True,True,True,False,,True,False,True,,True,7113818624.0,3.81,1.03,6.31,7.91,27.12,12.14,53.01,,1.92,0.74,0.25,10.670000076293945,6.03,11.18,37.11,25.55,64.16,24.61,25.55,22.99,3.0,115.5,130.67,n/d,2026-07-31,última,,,Lateral,11.33961009979248,-5.905053327281418,-24.613333607727895,True,False,False,sem sinal (Lateral; sem novo topo (-5.9%))
POMO3,SMALL11,SMALL11,Industrials,75.38,73.98,83.33333333333333,,81.42,67.09,59.22,87.25,5,Não,4,7,False,,True,,False,True,True,True,True,5,6,True,True,True,False,False,,True,False,True,,True,5300779520.0,4.45,1.26,22.11,11.85,28.32,18.39,13.81,,1.97,0.84,0.33,4.269999980926514,3.61,6.7,12.71,8.55,24.22,7.9,7.63,6.87,4.0,60.79,84.92,n/d,2026-04-27,última,,,Em Baixa,4.989999771118164,-14.428854172678896,-36.6551779202539,True,False,False,sem sinal (Em Baixa; sem novo topo (-14.4%))
MDNE3,SMALL11,SMALL11,Real Estate,75.31,73.9,83.33333333333333,,73.69,65.95,83.0,76.51,6,Não,5,7,False,,True,,False,True,True,True,True,5,6,True,True,False,True,True,,True,False,True,,True,2584536832.0,5.13,1.23,15.57,9.2,23.93,11.1,19.89,,2.78,0.43,0.41,24.920000076293945,16.38,30.39,64.36,47.06,106.07,61.97,55.71,50.14,4.0,101.2,148.68,n/d,2026-01-02,última,,,Em Baixa,25.399999618530273,-1.8897620056897546,-27.304547947229874,True,False,False,sem sinal (Em Baixa; sem novo topo (-1.9%))
POMO4,BOVA11+SMALL11,BOVA11,Industrials,74.06,72.42,83.33333333333333,,81.42,64.61,59.22,77.85,7,Não,4,7,False,,True,,False,True,True,True,True,5,6,True,True,True,False,False,,True,False,True,,True,5648371712.0,4.74,1.34,20.75,9.47,28.32,18.39,13.81,,1.97,0.84,0.32,4.550000190734863,3.08,5.71,12.72,8.56,23.49,9.0,8.56,7.71,3.0,69.39,97.74,n/d,2026-04-27,última,,,Em Baixa,5.380000114440918,-15.42750754741029,-42.77414126510497,True,False,False,sem sinal (Em Baixa; sem novo topo (-15.4%))
MILS3,SMALL11,SMALL11,Industrials,72.9,71.06,83.33333333333333,,86.65,51.07,69.97,53.02,8,Não,5,7,False,,True,,False,True,True,True,True,5,6,True,True,True,True,False,,True,False,True,,True,3565582336.0,8.16,1.94,6.79,5.73,23.81,20.65,23.53,,2.98,0.99,0.64,15.649999618530273,6.41,11.89,25.41,18.66,35.3,22.81,22.03,19.83,4.0,26.72,45.78,n/d,2026-04-22,última,,,Lateral,15.8100004196167,-1.0120227504099244,-1.8193222677992948,True,False,False,sem sinal (Lateral; sem novo topo (-1.0%))
CURY3,BOVA11+SMALL11,BOVA11,Real Estate,71.71,69.65,83.33333333333333,,90.22,32.94,63.83,80.54,9,Não,6,7,False,,True,,False,True,True,True,True,5,6,True,True,True,True,True,,True,False,True,,True,9712740352.0,9.12,6.29,13.31,9.82,68.95,37.57,18.37,,1.94,0.71,1.27,31.530000686645508,22.12,41.04,45.81,19.75,58.79,37.5,41.04,36.93,5.0,17.14,18.94,n/d,2026-05-18,última,,,Em Baixa,32.029998779296875,-1.5610306328658008,-23.183371469185353,True,False,False,sem sinal (Em Baixa; sem novo topo (-1.6%))
LAVV3,SMALL11,SMALL11,Real Estate,70.48,68.22,83.33333333333333,,68.75,52.11,75.62,91.28,10,Não,4,7,False,,True,,True,True,True,False,True,5,6,True,True,False,True,False,,True,False,True,,True,1909393664.0,5.29,1.32,26.34,13.99,24.9,8.69,22.06,,4.22,0.85,0.82,9.770000457763672,9.76,18.11,24.47,17.54,37.79,21.53,18.11,16.3,5.0,66.81,120.41,n/d,2026-02-03,última,,,Em Baixa,11.0600004196167,-11.663652015464699,-48.52475925501252,True,False,False,sem sinal (Em Baixa; sem novo topo (-11.7%))
